year,month,state,sector,group,subgroup,index,inflation,status
2013,April,All India,Combined,General,,106.1,,F
2013,April,All India,Urban,General,,105.7,,F
2013,April,All India,Rural,General,,106.4,,F
2013,April,All India,Urban,Food and Beverages,Meat and Fish,113.4,,F
2013,April,All India,Urban,Food and Beverages,Egg,106.0,,F
2013,April,All India,Urban,Food and Beverages,Oils and Fats,102.1,,F
2013,April,All India,Urban,Food and Beverages,Fruits,109.5,,F
2013,April,All India,Urban,Food and Beverages,Milk and Products,104.7,,F
2013,April,All India,Urban,Food and Beverages,Cereals and Products,114.6,,F
2013,April,All India,Rural,Food and Beverages,Sugar and Confectionery,104.2,,F
